ID,location_name,lat,long
2353731,Forêt Classée de Woro,12.35,-2.93333
2353732,Ouro,13.85748,-2.11771
2353733,Woro,12.35,-2.9
2353734,Woro,12.0,-2.41667
2353735,Woro,11.7,-3.68333
2353736,Ouoré Yarsé,13.21193,-2.62578
2353737,Ouoré,12.56075,-1.03693
2353738,Woranga,12.9,0.9
2353739,Ouonon,13.04465,-2.1237
2353740,Wonkoro,10.6,-3.65
2353741,Oumsom,13.38426,-2.16987
2353742,Wolopékaha,10.7,-5.38333
2353743,Wolé,13.43771,-0.54091
2353744,Wolbyé,12.33333,-2.9
2353745,Wolankoto,11.28987,-4.36869
2353746,Wodo,10.3,-3.75
2353747,Wedbila,12.15738,-1.42127
2353748,Wobzonguen,12.08333,-0.06667
2353749,Wizin Kpopéri,10.95,-2.85
2353750,Wizini,10.93333,-2.86667
2353751,Ouidtenga,12.79062,-1.7484
2353752,Wiridia,10.8,-3.4
2353753,Wiri,11.21667,-1.61667
2353754,Ouéria,12.92777,-1.08047
2353755,Win Wéléna,10.15,-3.35
2353756,Wintobaka,13.05531,-1.25388
2353757,Wintiara,10.46667,-4.68333
2353758,Windé Oulo,14.05097,-0.28065
2353759,Winba,12.63333,-2.76667
2353760,Win,10.88333,-3.53333
2353761,Wilmisensi,12.05,-0.18333
2353762,Wiliga,11.8,-1.31667
2353763,Wiho,10.28333,-2.95
2353764,Widou,12.43333,-2.11667
2353765,Widi,11.93333,-1.58333
2353767,Wézala Béré,12.31667,-3.08333
2353768,Wézala,12.3,-3.06667
2353770,Wétina,12.28333,-3.56667
2353771,Ouétigué,13.32728,-2.28137
2353772,Wéti,12.03333,-2.43333
2353773,Wésèntenga,13.1074,-1.21832
2353774,Wésam,12.15,-2.2
2353775,Wèrla,13.20626,-1.34631
2353776,Wéressé,13.0944,-3.6676
2353777,Wérékui,12.86667,-4.18333
2353778,Wéré,11.44506,-3.98317
2353779,Wèré,13.16724,-2.53639
2353780,Wéré,13.0321,-3.4722
2353781,Wéré,11.83244,-4.82159
2353782,Wéotenga,12.36667,-0.93333
2353783,Wensen,12.11667,-0.11667
2353784,Wénontenga,12.93333,-2.88333
2353785,Wèndou,14.03761,-0.06308
2353786,Wendé,13.51596,0.312
2353787,Wénaré,12.6,-2.51667
2353788,Wemtinga,11.96667,-1.36667
2353790,Wemtinga,11.56667,-1.08333
2353791,Wemtenga,13.12345,-2.03203
2353792,Wèmtenga,12.33333,-0.65
2353793,Wamsey Tanga,13.69089,-2.65386
2353794,Wembazaka,13.08128,-2.13546
2353795,Ouembaïri,13.02822,-2.58294
2353796,Wélinbélé,10.0,-3.03333
2353797,Wélé Wélé,10.33333,-3.28333
2353798,Wélé Wéla,10.31667,-3.05
2353799,Welba,10.08333,-2.83333
2353800,Wéknaoré,13.96203,-2.41292
2353801,Wékéré,11.38333,-3.81667
2353802,Wéï,12.08333,-3.6
2353803,Wédoro,12.21667,-0.33333
2353804,Wédinsé,13.6792,-2.43628
2353805,Wédékendou,13.30364,-1.70626
2353806,Wendey Daïri,13.61485,-2.90339
2353807,Wèda,13.00963,-1.25068
2353808,Wéanga,12.6,-0.25
2353809,Wé,11.33608,-4.3343
2353810,Oué,12.60032,0.41266
2353812,Wazili,12.66667,-2.25
2353813,Ouazélé,12.81667,-1.48333
2353814,Forêt Classée de Wayen,12.43544,-1.02406
2353815,Wayen,12.34282,-1.00394
2353816,Wayalguen,12.81667,-0.6
2353817,Ouavoussé,13.16118,-2.00384
2353818,Wavousé,12.8,-0.55
2353819,Wavoussé,12.10919,-1.24165
2353820,Wavougué,12.54285,-1.62765
2353821,Watyouol,13.95107,-0.32099
2353822,Watyouol,13.9309,-0.30418
2353823,Watinoma,13.84287,-2.35734
2353824,Wattara Kô,10.63333,-5.16667
2353825,Watogo,12.45,-2.03333
